,seed_url,number_of_results
0,https://arquivo.pt/noFrame/replay/20131105155651/http://taf.net/opiniao/2005/01/poltica-open-source.htm,0
1,https://arquivo.pt/noFrame/replay/20141001082436/http://alfinete2008.blogspot.pt/search/label/software%20livre,0
2,https://arquivo.pt/noFrame/replay/20191014185809/https://ktreta.blogspot.com/2010/09/software-livre.html,0
3,https://arquivo.pt/noFrame/replay/20191014225758/https://partidolivre.pt/tag/software-livre,0
4,http://unix.no.sapo.pt,33
5,http://www.pcguia.xl.pt/linux.shtml,120
6,http://opensource.ccems.pt/,33
7,http://www.programaslivres.net/,32
8,http://esaof.edu.pt/blog/pcurgencias/,18
9,http://softlivre.crie.min-edu.pt/,17
10,http://www.escolaslivres.org/,52
11,http://blog.softwarelivre.sapo.pt/,49
12,http://a-informacao.blogspot.pt/,31
13,http://blogdovicente.com/,48
14,http://blog.rcgoncalves.pt/,20
15,http://agulha.camorim.eu/,7
16,http://administracao-softwarelivre.blogspot.pt/,22
17,http://openlab.esev.ipv.pt/,17
18,http://portal.ipt.pt/portal/portal/posgradSLAP,9
19,http://moss.dcti.iscte.pt/,72
20,http://softwarelivre.gov.pt/,44
21,http://www.tos.ipb.pt,28
22,https://arquivo.pt/noFrame/replay/20151118031643/http://casa-viva.blogspot.pt/search/label/c%C3%B3digo%20aberto?updated-max/0752014-11-14T06:23:00-08:00/46max-results/07520/46start/07520/46by-date/75false,0
23,https://www.opensourcelisbon.com/,318
24,http://transparencia-pt.org/,12
25,http://www.descobre.com,36
26,https://arquivo.pt/noFrame/replay/20110703125416/http://aeiou.exameinformatica.pt/morreu-robert-morris-um-dos-criadores-do-unix=f1009906,0
27,https://arquivo.pt/noFrame/replay/20110705160118/http://sol.sapo.pt/inicio/Tecnologia/Interior.aspx?content_id=23400,0
28,https://arquivo.pt/noFrame/replay/20110705211535/http://www.computerworld.com.pt/tag/software-livre/,0
29,https://arquivo.pt/noFrame/replay/20110803150227/http://tek.sapo.pt/tek_expert/agenda_evento_linux_2011_1174110.html,0
30,https://arquivo.pt/noFrame/replay/20111130200802/http://sol.sapo.pt/inicio/tag.aspx?tag=Software%20Livre,0
31,https://arquivo.pt/noFrame/replay/20120715042109/http://www.computerworld.com.pt/tag/unix/,0
32,https://arquivo.pt/noFrame/replay/20121109022941/http://www.computerworld.com.pt/2005/07/13/ibm-compra-startup-de-cdigo-aberto/,0
33,https://arquivo.pt/noFrame/replay/20121109023013/http://www.computerworld.com.pt/2007/05/09/adobe-disponibiliza-flex-em-cdigo-aberto/,0
34,https://arquivo.pt/noFrame/replay/20140507203108/http://www.oribatejo.pt/tag/software-livre/,0
35,https://arquivo.pt/noFrame/replay/20140803023140/http://exameinformatica.sapo.pt/noticias/software/2011-12-12-webos-passa-a-ter-codigo-aberto,0
36,https://arquivo.pt/noFrame/replay/20140902194204/http://www.cienciahoje.pt/index.php?oid=59192&op=all,0
37,https://arquivo.pt/noFrame/replay/20151206020408/http://www.pcguia.pt/2015/12/swift-disponivel-em-codigo-aberto/,0
38,https://arquivo.pt/noFrame/replay/20170914172303/http://tek.sapo.pt/noticias/computadores/artigos/associacoes-exigem-que-governos-usem-software-livre-e-de-codigo-aberto,0
39,http://caca.com.pt,9
40,http://opensource.blogs.ca.ua.pt/,9
41,http://www.ansol.org/,549
42,http://www.linux.pt/,94
43,http://www.esop.pt/,474
44,http://softwarelivre.sapo.pt/,95
45,http://www.revista-linux.com/,31
46,http://www.revista-programar.info/,1563
